DSH[K],DSC[K],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
2.909090909,3.909090909,2770872.843,1382398.621,10250.38224,9232.699587,1124.17047,9.118174264,8.212899944,0.037246525,0.037246525,2.909090909,3.909090909
2.272727273,4.454545455,2777454.481,1380957.39,10291.18755,9280.50039,1128.646251,9.118169258,8.222683046,0.037394259,0.037394259,2.272727273,4.454545455
2.727272727,4,2772166.483,1382119.988,10258.26973,9242.938184,1125.03648,9.118166307,8.215678643,0.037292196,0.037292196,2.727272727,4
2.272727273,4.363636364,2776643.397,1381142.605,10285.94368,9275.754493,1128.072767,9.118156183,8.222656164,0.037399534,0.037399534,2.272727273,4.363636364
2.636363636,5.454545455,2785363.341,1379130.731,10342.95447,9321.106149,1134.326697,9.118144269,8.21730298,0.037234298,0.037234298,2.636363636,5.454545455
2.272727273,5.181818182,2783952.922,1379484.742,10332.91918,9318.251876,1133.226854,9.1181383,8.222759499,0.037352321,0.037352321,2.272727273,5.181818182
2.090909091,5.090909091,2783653.855,1379571.044,10330.47497,9319.158903,1132.960922,9.118121172,8.22549015,0.037409229,0.037409229,2.090909091,5.090909091
2.181818182,4.545454545,2778530.531,1380725.076,10297.77725,9288.013393,1129.377382,9.118101191,8.224012223,0.037414863,0.037414863,2.181818182,4.545454545
2.090909091,5,2782847.226,1379754.972,10325.26529,9314.442495,1132.392718,9.118095802,8.225452485,0.037414477,0.037414477,2.090909091,5
2.090909091,4.909090909,2782040.837,1379939.15,10320.04962,9309.72016,1131.824298,9.118066861,8.225411118,0.037419733,0.037419733,2.090909091,4.909090909
2.636363636,4.090909091,2773244.527,1381888.452,10264.84052,9250.421572,1125.771847,9.118046919,8.216959409,0.037312513,0.037312513,2.636363636,4.090909091
2.909090909,5.636363636,2786237.137,1378913.083,10349.13928,9322.033263,1135.017297,9.118045425,8.213119997,0.037147965,0.037147965,2.909090909,5.636363636
2.090909091,4.636363636,2779607.635,1380492.651,10304.37049,9295.531181,1130.108521,9.118036274,8.225343855,0.037435528,0.037435528,2.090909091,4.636363636
2.090909091,4.818181818,2781234.719,1380123.578,10314.82792,9304.991893,1131.25568,9.118034145,8.225365901,0.037424996,0.037424996,2.090909091,4.818181818
2.363636364,4.272727273,2775614.788,1381376.522,10279.34214,9268.202957,1127.368906,9.117993303,8.221091521,0.037379032,0.037379032,2.363636364,4.272727273
2.363636364,5.363636364,2785349.14,1379168.571,10341.90486,9324.802671,1134.232384,9.117977066,8.221245315,0.037316219,0.037316219,2.363636364,5.363636364
