DSH_target,DSC_target,f_comp
1.4736842105263157,3.8421052631578947,106.25
1.4736842105263157,3.8421052631578947,146.875
1.4736842105263157,3.8421052631578947,187.5
1.4736842105263157,3.8421052631578947,228.125
1.4736842105263157,3.8421052631578947,268.75
1.4736842105263157,3.8421052631578947,309.375
1.4736842105263157,3.8421052631578947,350.0
1.4736842105263157,3.8421052631578947,390.625
1.4736842105263157,3.8421052631578947,431.25
1.4736842105263157,3.8421052631578947,471.875
1.4736842105263157,3.8421052631578947,512.5
1.4736842105263157,3.8421052631578947,553.125
1.4736842105263157,3.8421052631578947,593.75
1.4736842105263157,3.8421052631578947,634.375
1.4736842105263157,3.8421052631578947,675.0
1.4736842105263157,3.8421052631578947,715.625
1.4736842105263157,3.8421052631578947,756.25
1.4736842105263157,3.8421052631578947,796.875
1.4736842105263157,3.8421052631578947,837.5
1.4736842105263157,3.8421052631578947,878.125
1.4736842105263157,3.8421052631578947,918.75
1.4736842105263157,3.8421052631578947,959.375
1.4736842105263157,3.8421052631578947,1000.0
1.4736842105263157,4.315789473684211,25.0
1.4736842105263157,4.315789473684211,65.625
1.4736842105263157,4.315789473684211,106.25
1.4736842105263157,4.315789473684211,146.875
1.4736842105263157,4.315789473684211,187.5
1.4736842105263157,4.315789473684211,228.125
1.4736842105263157,4.315789473684211,268.75
1.4736842105263157,4.315789473684211,309.375
1.4736842105263157,4.315789473684211,350.0
1.4736842105263157,4.315789473684211,390.625
1.4736842105263157,4.315789473684211,431.25
1.4736842105263157,4.315789473684211,471.875
1.4736842105263157,4.315789473684211,512.5
1.4736842105263157,4.315789473684211,553.125
1.4736842105263157,4.315789473684211,593.75
1.4736842105263157,4.315789473684211,634.375
1.4736842105263157,4.315789473684211,675.0
1.4736842105263157,4.315789473684211,715.625
1.4736842105263157,4.315789473684211,756.25
1.4736842105263157,4.315789473684211,796.875
1.4736842105263157,4.315789473684211,837.5
1.4736842105263157,4.315789473684211,878.125
1.4736842105263157,4.315789473684211,918.75
1.4736842105263157,4.315789473684211,959.375
1.4736842105263157,4.315789473684211,1000.0
1.4736842105263157,4.789473684210526,25.0
1.4736842105263157,4.789473684210526,65.625
1.4736842105263157,4.789473684210526,106.25
1.4736842105263157,4.789473684210526,146.875
1.4736842105263157,4.789473684210526,187.5
1.4736842105263157,4.789473684210526,228.125
1.4736842105263157,4.789473684210526,268.75
1.4736842105263157,4.789473684210526,309.375
1.4736842105263157,4.789473684210526,350.0
1.4736842105263157,4.789473684210526,390.625
1.4736842105263157,4.789473684210526,431.25
1.4736842105263157,4.789473684210526,471.875
1.4736842105263157,4.789473684210526,512.5
1.4736842105263157,4.789473684210526,553.125
1.4736842105263157,4.789473684210526,593.75
1.4736842105263157,4.789473684210526,634.375
1.4736842105263157,4.789473684210526,675.0
1.4736842105263157,4.789473684210526,715.625
1.4736842105263157,4.789473684210526,756.25
1.4736842105263157,4.789473684210526,796.875
1.4736842105263157,4.789473684210526,837.5
1.4736842105263157,4.789473684210526,878.125
1.4736842105263157,4.789473684210526,918.75
1.4736842105263157,4.789473684210526,959.375
1.4736842105263157,4.789473684210526,1000.0
1.4736842105263157,5.263157894736842,25.0
1.4736842105263157,5.263157894736842,65.625
1.4736842105263157,5.263157894736842,106.25
1.4736842105263157,5.263157894736842,146.875
1.4736842105263157,5.263157894736842,187.5
1.4736842105263157,5.263157894736842,228.125
1.4736842105263157,5.263157894736842,268.75
1.4736842105263157,5.263157894736842,309.375
1.4736842105263157,5.263157894736842,350.0
1.4736842105263157,5.263157894736842,390.625
1.4736842105263157,5.263157894736842,431.25
1.4736842105263157,5.263157894736842,471.875
1.4736842105263157,5.263157894736842,512.5
1.4736842105263157,5.263157894736842,553.125
1.4736842105263157,5.263157894736842,593.75
1.4736842105263157,5.263157894736842,634.375
1.4736842105263157,5.263157894736842,675.0
1.4736842105263157,5.263157894736842,715.625
1.4736842105263157,5.263157894736842,756.25
1.4736842105263157,5.263157894736842,796.875
1.4736842105263157,5.263157894736842,837.5
1.4736842105263157,5.263157894736842,878.125
1.4736842105263157,5.263157894736842,918.75
1.4736842105263157,5.263157894736842,959.375
1.4736842105263157,5.263157894736842,1000.0
1.4736842105263157,5.7368421052631575,25.0
1.4736842105263157,5.7368421052631575,65.625
1.4736842105263157,5.7368421052631575,106.25
1.4736842105263157,5.7368421052631575,146.875
